,id,pos,category,stereotype,lemma,level,off_nonoff,term-or-expression,explicit-or-implicit,en-contextual-label,en-hate-label
0,EN858,n,an,no,sucker,inclusive,0.99970684,term,explicit,1.0,0
1,EN858,n,cds,no,sucker,conservative,0.99970684,term,explicit,1.0,0
2,EN858,n,asf,no,sucker,conservative,0.99970684,term,explicit,1.0,0
3,EN858,n,ps,yes,sucker,conservative,0.99970684,term,explicit,1.0,0
4,EN858,n,asm,no,sucker,conservative,0.99970684,term,explicit,1.0,0
5,EN858,n,ddp,yes,sucker,conservative,0.99970684,term,explicit,1.0,0
6,EN858,n,an,no,sucker,conservative,0.99970684,term,explicit,1.0,0
7,EN4964,n,dmc,yes,deceiver,conservative,0.78269834,expression,explicit,0.0,0
8,EN19,n,dmc,yes,abject,inclusive,0.54344854,term,explicit,1.0,0
9,EN7559,a,dmc,yes,abject,conservative,-0.079926126,term,explicit,1.0,0
10,EN7315,a,cds,no,fascist,inclusive,0.42207066,term,explicit,0.0,partyism
11,EN3808,n,cds,no,fascist,conservative,0.70326993,term,explicit,0.0,partyism
12,EN3808,n,ps,yes,fascist,inclusive,0.70326993,term,explicit,0.0,partyism
13,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,0.0,sexism
14,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
15,EN896,n,an,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
16,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,0.0,sexism
17,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
18,EN896,n,pr,no,whore,conservative,2.3926588,term,explicit,1.0,sexism
19,EN5066,n,re,no,murderer,inclusive,1.6137534,term,explicit,1.0,0
20,EN5066,n,re,no,murderer,inclusive,1.6137534,term,explicit,1.0,0
21,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
22,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
23,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
24,EN1918,n,cds,no,retard,inclusive,1.9264918,term,explicit,0.0,0
25,EN1918,n,cds,no,retard,inclusive,1.9264918,expression,explicit,1.0,0
26,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
27,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
28,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
29,EN1918,n,ddp,yes,retard,conservative,1.9264918,term,explicit,0.0,0
30,EN1918,n,ddp,yes,retard,conservative,1.9264918,expression,explicit,1.0,0
31,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
32,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
33,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
34,EN1918,n,asf,no,retard,conservative,1.9264918,term,explicit,0.0,0
35,EN1918,n,asf,no,retard,conservative,1.9264918,expression,explicit,1.0,0
36,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
37,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
38,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
39,EN1918,n,ps,yes,retard,conservative,1.9264918,term,explicit,0.0,0
40,EN1918,n,ps,yes,retard,conservative,1.9264918,expression,explicit,1.0,0
41,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
42,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
43,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
44,EN1918,n,ddp,yes,retard,inclusive,1.9264918,term,explicit,0.0,0
45,EN1918,n,ddp,yes,retard,inclusive,1.9264918,expression,explicit,1.0,0
46,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
47,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
48,EN1918,n,asm,no,retard,inclusive,1.9264918,term,explicit,0.0,0
